lat	lon	title	description	icon
44.9731202	-93.2737845	Slam Academy	coinmap	coinmap.png
44.976151	-93.269278	Crowne Plaza Minneapolis Northstar Downtown	destination charger	destination charger.png
32.7875701	-96.7961419	CPAs - McCarthy, Rose & Mills, LLP	coinmap	coinmap.png
32.786413	-96.795473	Dallas Marriott City Center	destination charger	destination charger.png
47.6117688048	-122.337296605	Coinme Bitcoin ATM	coinmap	coinmap.png
47.6097909	-122.3366622	Nesbit's Fine Watch Service	coinmap	coinmap.png
47.6100335	-122.3399741	Gearbox Photography	coinmap	coinmap.png
47.607651	-122.339418	Four Seasons Hotel Seattle	destination charger	destination charger.png
43.0404657	-87.9143022	414 Glass & Grooves	coinmap	coinmap.png
43.038437	-87.91756	Hilton Milwaukee City Center	destination charger	destination charger.png
44.8606826	-93.330601	Tech-Shield Consulting	coinmap	coinmap.png
44.856628	-93.331366	Hilton Minneapolis/Bloomington	destination charger	destination charger.png
34.0543661096	-118.40927124	David Mahat	coinmap	coinmap.png
34.054371	-118.411911	InterContinental Hotel Los Angeles, Century City at Beverly Hills	destination charger	destination charger.png
43.0404657	-87.9143022	414 Glass & Grooves	coinmap	coinmap.png
43.041929	-87.911333	InterContinental Milwaukee	destination charger	destination charger.png
49.2839789	-123.1251129	Digital Currency Profits	coinmap	coinmap.png
49.2849221011	-123.123216033	Lead Mate	coinmap	coinmap.png
49.2886327	-123.1259515	Zyza Yoga Clothing & Active Wear	coinmap	coinmap.png
49.2844217132	-123.121622801	Solimano Law	coinmap	coinmap.png
49.2860061	-123.1267009	Steamrollers - burritos	coinmap	coinmap.png
49.287521	-123.123521	Loden Hotel	destination charger	destination charger.png
43.0407955	-87.906093	Bad Genie	coinmap	coinmap.png
43.038873	-87.905652	The Pfister Hotel	destination charger	destination charger.png
39.0417494	-94.5898596	TIVOL	coinmap	coinmap.png
39.039884	-94.591361	The Raphael Hotel	destination charger	destination charger.png
37.7895241	-122.4077704	My Doctor Medical Group	coinmap	coinmap.png
37.790559	-122.4023821	Bamboo Asia	coinmap	coinmap.png
37.7880606	-122.4010128	SC Sports Therapy	coinmap	coinmap.png
37.7842531017	-122.403273582	Coinme Bitcoin ATM	coinmap	coinmap.png
37.7897612	-122.4022864	Bamboo Asia	coinmap	coinmap.png
37.7877738	-122.3998375	imPrint CP	coinmap	coinmap.png
37.7868721	-122.3995645	Wikimedia Foundation	coinmap	coinmap.png
37.7842658205	-122.406460047	Coinme Bitcoin ATM	coinmap	coinmap.png
37.78671	-122.402827	Park Central Hotel	destination charger	destination charger.png
47.6117688048	-122.337296605	Coinme Bitcoin ATM	coinmap	coinmap.png
47.6097909	-122.3366622	Nesbit's Fine Watch Service	coinmap	coinmap.png
47.6100335	-122.3399741	Gearbox Photography	coinmap	coinmap.png
47.614141	-122.336357	Hotel Max	destination charger	destination charger.png
45.5225398	-122.6763546	Philip Kolba Counseling	coinmap	coinmap.png
45.5214864	-122.6808304	Fork Networking Inc	coinmap	coinmap.png
45.5169406	-122.6805748	Smart Legal	coinmap	coinmap.png
45.5193834982	-122.676290274	Rialto Poolroom & Bar	coinmap	coinmap.png
45.5166922221	-122.679691315	David Mahat	coinmap	coinmap.png
