"comment_id","post_id","body","date_added","json_id"
"1","4","下载P2P软件
http://127.0.0.1:43110/123bZqsk4PLCVhfujXJX6ZQjr2TordejtC/?Post:16:New+blog+post","1492573320","19"
"2","4","在新时代，中国人不需要被代表。人大代表真的是人民选择出来的吗？答案是NO
中国的法律经过大部分人审核通过吗？答案是NO
泸州事件告诉我权力必须要归每个公民，反游行法是违法和违宪，难道人民默许就是承认法律有效吗？这部法律全体绝大多数人民没有通过，在新时代全体人民应该有选择权，虽然中国需要领袖，但是我们不需要一个违法的领袖。不允许组建新的政党也是违法，这是每个新时代公民的自由。人民把权力交给你，你就这样对你的人民。","1492590835","19"
"3","7","把视频放到这个网站上去让别人打开做种，就可以观看！
http://127.0.0.1:43110/12MVkvYGcRW6u2NYbpfwVad1oQeyG4s9Er/","1492791066","19"
"4","11","多学知识：http://127.0.0.1:43110/15gfg6DUVkp7ApLSMQvC2ig5qy8j91jXeW/","1493119527","19"
"5","11","> [info111](#comment_1_1L3UBHScbiP33svDmiNfNnFLZzebNECgqC): 网友确认进一步信息：一周前在出租房遭暴力绑架的北京维权人士 倪玉兰和丈夫借宿安定门派出所在接待大厅内, 派出所电话：+86 10 8404 1156

视屏网站：http://127.0.0.1:43110/12MVkvYGcRW6u2NYbpfwVad1oQeyG4s9Er/
图片网站：http://127.0.0.1:43110/1NCRELKZ3zWRS6DijziYrfWi9dsUY8Fh8n/","1493131290","19"
"1","11","网友确认进一步信息：一周前在出租房遭暴力绑架的北京维权人士 倪玉兰和丈夫借宿安定门派出所在接待大厅内, 派出所电话：+86 10 8404 1156","1493130742","25"
"1","3","Luzhou Incident will not be ended without justice fulfilled. 泸州事件不会那么轻易地被抹去的。","1492358300","9"
"2","4","昏睡百年，国人已醒 https://proxy.th3nd.com/1CKb48FyYBvs4yhPfyob4C6D3XYYX77BqD/?/video/138 
泸州事件，在没有任何外部势力组织的情况下，民众自发抵制被误导的军人 
https://bit.surf:43110/1CKb48FyYBvs4yhPfyob4C6D3XYYX77BqD/?/video/137 
这一系列事件表明，国人已醒来，不想当蚂蚁了。 
跟着习核心，跨越柏林墙。传递习氏正能量，反对反华辱习法规。 
零封锁、零雾霾，让更多人共同努力去推动这个新技术吧。
(下载零网的工具， https://zeronet.io/ 可以更快打开页面）","1492442979","9"
"3","7","是重庆出台辱习法规后，习核心英勇翻墙的举动就龟缩隐藏起来了吗？ 太不可思议了吧？
之前说过，习氏翻墙不退缩，万里长城永不倒！现在应该调整一下，改为：
习氏翻墙半龟缩，万里长城仍不倒！跟着习核心，跨越柏林墙。传递习氏正能量，反对反华辱习法规。 
http://127.0.0.1:43110/1FEZMirRLiZPx6xXL7G7Cg7tCHNVwG798r/?Post:4 
零封锁、零雾霾，让更多人共同努力去推动这个新技术吧。
(下载零网的工具， https://zeronet.io/ 可以更快打开页面）","1492507606","9"
"4","4","(BLOB)","1492593743","9"
"5","8","郭文贵VOA爆料，MP4格式，图像不清晰，但是声音很清晰。
http://127.0.0.1:43110/1CKb48FyYBvs4yhPfyob4C6D3XYYX77BqD/?/video/139 
零封锁，广传播! 请网友们享用无封锁技术，免费使用零封锁的零网技术。
(下载零网的工具， https://zeronet.io/ 可以流畅打开页面和视频）","1492749059","9"
"6","1","(BLOB)","1492782282","9"
