lat	lon	title	description	icon
46.995663	8.607171	Haushaltsteckdose reduziert	Ladegeschwindigkeit:<br><b>7.08 km/h</b><br>Hinzugef&uuml;gte Energie:<br><b>18.33 kWh</b><br>ueber Nacht	charge.png
47.32695	7.805512	Supercharger	Ladegeschwindigkeit:<br><b>258.3 km/h</b><br>Hinzugef&uuml;gte Energie:<br><b>0.0 kWh</b><br>Kosten:<br><b>0</b><br>Pinkelpause	charge.png
47.524788	7.680388	Supercharger	Ladegeschwindigkeit:<br><b>263.29 km/h</b><br>Hinzugef&uuml;gte Energie:<br><b>17.49 kWh</b><br>Kosten:<br><b>0</b><br>Fruehstueck	charge.png
49.507202	8.637424	Supercharger	Ladegeschwindigkeit:<br><b>539.13 km/h</b><br>Hinzugef&uuml;gte Energie:<br><b>59.73 kWh</b><br><br>Kosten:<br><b>0</b>Mittagessen	charge.png
51.087162	9.485334	Supercharger	Ladegeschwindigkeit:<br><b>528.99 km/h</b><br>Hinzugef&uuml;gte Energie:<br><b>56.68 kWh</b><br><br>Kosten:<br><b>0</b>Abendessen	charge.png
52.278912	9.350713	Supercharger	Ladegeschwindigkeit:<br><b>361.46 km/h</b><br>Hinzugef&uuml;gte Energie:<br><b>38.14 kWh</b><br><br>Kosten:<br><b>0</b>Fruehstueck	charge.png
53.369865	9.802169	Supercharger	Ladegeschwindigkeit:<br><b>492.14 km/h</b><br>Hinzugef&uuml;gte Energie:<br><b>53.94 kWh</b><br>Kosten:<br><b>0</b><br>Mittagessen	charge.png
55.067249	9.361148	Supercharger	Ladegeschwindigkeit:<br><b>470.41 km/h</b><br>Hinzugef&uuml;gte Energie:<br><b>ca. 45 kWh</b><br>Kosten:<br><b>0</b><br>Pinkelpause	charge.png
56.433567	10.055676	Supercharger	Ladegeschwindigkeit:<br><b>499.38 km/h</b><br>Hinzugef&uuml;gte Energie:<br><b>39.93 kWh</b><br>Kosten:<br><b>0</b><br>Abendessen	charge.png
59.121975	9.707685	Supercharger	Ladegeschwindigkeit:<br><b>486.18 km/h</b><br>Hinzugef&uuml;gte Energie:<br><b>49.52 kWh</b><br>Kosten:<br><b>0</b><br>Mittagessen	charge.png
59.44173	8.008308	Schuko	Ladegeschwindigkeit:<br><b>11.26 km/h</b><br>Hinzugef&uuml;gte Energie:<br><b>ca. 50 kWh</b><br>Kosten:<br><b>0.002 BTC</b><br>&uuml;ber Nacht	charge.png
